"Sample.ID","Replicate.Number","Sample.Volume","Sample.Collection.Method","Filter.Preservation.Method","Sample.Notes","Filter.Type","Filter.Pore.Size","Survey.Date.and.Time","Site.Name","Crew","Blank.Included","Site.Notes","County","State","Year","Habitat","Size","Site.Character","Project.Name","Waterbody.Name","Sample.Depth","Sub.Site.Locations","flow.CMS","Air.Temperature","Water.Temperature","Dissolved.Oxygen","Specific.Conductance","pH","X.Coordinate","Y.Coordinate","Extraction.Status","Location.Storage.Method","DNA.Volume.ul.remaining","RNA.Volume.ul.remaining"
"Klamath28_20230717_1",1,1000,"Deionized water","RNAprotect Tissue Reagent","blank","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath28_20230717_2",2,375,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath28_20230717_3",3,280,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath28_20230717_4",4,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath28_20230717_5",5,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath28_20230717_6",6,360,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath28_20230717_7",7,300,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath28_20230717_8",8,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath28_20230717_9",9,375,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath28_20230717_10",10,390,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 19:20","Klamath28","DK, JO","yes","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.1102822,30,23.3,9.89,132,NA,-122.0764396,42.08003685,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
